                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2658,                 4.8322,                 2.3138,                0.00071,                    0.2,                 0.0063,                0.00264,                 1.8819,                 5.2135,                 2.4348,                  7e-05,                  7e-05,                  7e-05
                      2,                 1.4573,                 4.1915,                 1.6848,                0.00307,                    0.8,                0.39901,                0.23245,                 1.1326,                 4.3555,                 1.4538,             0.00014851,             0.00014851,             0.00014851
                      3,                 1.2776,                 3.4887,                 1.4915,                0.00443,                      1,                0.52848,                0.36193,                 1.0753,                 3.9698,                    1.2,             0.00022545,             0.00022545,             0.00022545
                      4,                  1.138,                 2.8102,                 1.3501,                0.00471,                      1,                0.52834,                0.42823,                0.83942,                 3.7397,                 1.0635,             0.00030079,             0.00030079,             0.00030079
